Timestamp,Counter,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8
11:57:001:00682,19312,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,5.00913,5.00848,5.00848,5.00848,0.000103121,-4.02073,-5.75311,0.000103121
11:57:001:00683,20299,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,5.00848,5.00848,5.00848,5.00848,-0.000225728,-1.10121,-2.24725,-0.000225728
11:57:001:00683,21241,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,5.00848,5.00913,5.00815,5.00848,0.000103121,-0.28172,-0.764141,-0.000554577
11:57:001:00684,22215,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,5.00848,5.00848,5.00881,5.00848,-0.000225728,-0.116309,-0.268895,0.000103121
11:57:001:00685,23136,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,0.000103121,-0.000225728,-0.000225728,-0.000225728,-0.0472511,-0.0817802,-0.000225728
11:57:001:00686,24001,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,-0.000225728,-0.000225728,-0.000225728,-0.000225728,-0.000225728,-0.0314664,-0.0206143,0.000431969
11:57:001:00687,24799,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,0.000103121,0.000103121,0.000103121,-0.000225728,-0.0268625,-0.000225728,-0.000225728
11:57:001:00688,25525,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,0.000103121,0.000431969,-0.000225728,0.000103121,-0.0252182,0.00700894,0.000103121
11:57:001:00691,28312,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,0.000431969,-0.000225728,0.000431969,-0.000554577,-0.0248894,0.0102974,-0.000225728
11:57:001:00692,29284,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.0239028,0.0116128,0.000103121
